Adventure,10,22,39,54,64,81,98,121,141,164,188
 Fantasy,2,5,9,15,23,26,34,41,48,55,67
 Action,3,7,14,22,30,38,48,58,71,82,90
 Science Fiction,3,11,22,28,40,48,57,65,77,87,96
Fantasy,3,10,14,22,31,38,46,56,66,74,86
 Adventure,6,14,25,34,36,47,53,70,79,91,105
 Family,3,9,13,21,28,37,46,54,60,71,86
Action,18,34,58,75,92,113,143,172,202,229,255
 Thriller,12,32,61,73,87,101,123,150,174,192,210
 Drama,11,28,37,47,62,72,82,97,104,120,136
Drama,15,39,58,76,104,125,146,175,194,218,245
 Romance,6,11,19,26,33,42,58,65,72,85,95
 Crime,5,7,15,21,30,37,50,60,70,80,90
Animation,1,4,6,11,16,22,28,33,36,42,47
 War,1,2,2,5,7,11,14,18,21,24,27
 Comedy,2,6,9,16,25,37,50,63,77,88,101
 Western,0,0,0,0,2,3,4,4,5,5,5
 Animation,1,3,3,7,9,12,16,19,20,23,25
Horror,1,3,9,14,18,21,23,29,32,37,43
War,2,3,3,6,8,12,16,21,24,28,31
 History,2,2,4,6,7,9,11,15,18,21,26
 Mystery,2,6,17,22,33,35,39,49,53,60,64
Family,3,10,14,22,29,39,48,57,64,75,92
 Horror,1,3,7,9,10,11,12,15,17,19,23
Science Fiction,5,14,26,36,48,60,69,79,91,102,113
Thriller,12,32,63,78,94,111,137,168,194,214,234
Western,0,0,0,0,2,3,4,5,6,8,8
History,3,4,6,8,9,11,14,18,21,24,29
Romance,6,11,19,27,38,47,63,71,78,92,106
 Music,0,1,1,2,3,5,6,7,8,9,11
Comedy,3,14,23,35,56,76,96,116,141,168,197
Crime,6,12,25,33,44,52,69,85,96,107,120
Mystery,2,6,17,23,36,38,43,54,58,66,72
Music,0,1,1,2,3,5,7,8,9,11,13
Documentary,0,0,0,0,0,0,1,1,1,1,1
